rebalance_date,training_end_date,max_training_observation_date,first_live_return_date,universe,method,fund,assets_used,solver_status,fallback_used,objective_value,weight_sum,min_weight,max_weight,rebalance_turnover,risk_contribution_dispersion
2021-01-04,2020-12-31,2020-12-31,2021-01-04,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,,0.03242262785969803
2021-02-01,2021-01-29,2021-01-29,2021-02-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.025333838004933648,0.032411668582973084
2021-03-01,2021-02-26,2021-02-26,2021-03-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.04808090956608876,0.032672017902394934
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.023346292314515252,0.032343758567403014
2021-05-03,2021-04-30,2021-04-30,2021-05-03,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.021274224268830293,0.03226151055883862
2021-06-01,2021-05-28,2021-05-28,2021-06-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.020924253875931532,0.03214177788394828
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.02667405773322293,0.03204044694501472
2021-08-02,2021-07-30,2021-07-30,2021-08-02,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.022290182207067678,0.032207178145016904
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.018564143772417684,0.032329950624888644
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.024861097677564625,0.032512010198144266
2021-11-01,2021-10-29,2021-10-29,2021-11-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.030892860165321362,0.0325700223790609
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.03273590616817377,0.03277333601851478
2022-01-03,2021-12-31,2021-12-31,2022-01-03,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.022483032262101882,0.03284523524660269
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.04088312553808703,0.03289166001766229
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.028415889189891477,0.0323888149352332
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.033484632764041705,0.03228649217700203
2022-05-02,2022-04-29,2022-04-29,2022-05-02,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.036011266897346905,0.031857197077887756
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.02998287399249277,0.031586858821348825
2022-07-01,2022-06-30,2022-06-30,2022-07-01,Equity,Equal Weight,Equity Equal Weight,50,success,False,,1.0,0.02,0.02,0.035731082777456694,0.030954114972549747
