date,ticker,asset_class,sector,return
2020-01-03,ADA-USD,Crypto,Crypto,0.0436322232876416
2020-01-03,BCH-USD,Crypto,Crypto,0.13650798527067698
2020-01-03,BTC-USD,Crypto,Crypto,0.05145166344511276
2020-01-03,EOS-USD,Crypto,Crypto,0.07118483634422224
2020-01-03,ETC-USD,Crypto,Crypto,0.07527200376818821
2020-01-03,ETH-USD,Crypto,Crypto,0.053068978168561154
2020-01-03,LTC-USD,Crypto,Crypto,0.06510205027815874
2020-01-03,TRX-USD,Crypto,Crypto,0.043900535325963164
2020-01-03,XLM-USD,Crypto,Crypto,0.025435206239219355
2020-01-03,XRP-USD,Crypto,Crypto,0.029131606757621054
2020-01-03,ABBV,Equity,Healthcare,-0.009492394400985482
2020-01-03,ABT,Equity,Healthcare,-0.012190655698628317
2020-01-03,ADBE,Equity,Tech,-0.0078342109696109
2020-01-03,AEP,Equity,Utilities,-0.0010698715876580334
2020-01-03,AMD,Equity,Tech,-0.010183299705468052
2020-01-03,AMGN,Equity,Healthcare,-0.00678885088523562
2020-01-03,AMT,Equity,RealEstate,0.0004812819873747376
2020-01-03,BA,Equity,Industrials,-0.001680016725565392
2020-01-03,CAT,Equity,Industrials,-0.013883805041347008
2020-01-03,CCI,Equity,RealEstate,0.005505469886244452
2020-01-03,CMCSA,Equity,Comm,-0.00793493585761329
2020-01-03,COP,Equity,Energy,0.003666369510954448
2020-01-03,CVX,Equity,Energy,-0.003458734238983907
2020-01-03,D,Equity,Utilities,-0.00244029953937952
2020-01-03,DD,Equity,Materials,-0.0211024518120545
2020-01-03,DIS,Equity,Consumer,-0.011470891218493096
2020-01-03,DOW,Equity,Materials,-0.02474425463123453
2020-01-03,DUK,Equity,Utilities,0.0006641496822574755
2020-01-03,EA,Equity,Comm,-0.0013043426355543453
2020-01-03,GE,Equity,Industrials,0.0033529843397042125
2020-01-03,GILD,Equity,Healthcare,-0.0024528704137986024
2020-01-03,GS,Equity,Financials,-0.011693107490631571
2020-01-03,INTC,Equity,Tech,-0.012163053755730457
2020-01-03,KO,Equity,Consumer,-0.005455622479253686
2020-01-03,MMM,Equity,Industrials,-0.008611287266423129
2020-01-03,MRK,Equity,Healthcare,-0.008583168667211871
2020-01-03,MS,Equity,Financials,-0.016141319072802918
2020-01-03,NEE,Equity,Utilities,0.007124222159773597
2020-01-03,NEM,Equity,Materials,-0.009023546797987891
2020-01-03,NKE,Equity,Consumer,-0.0027395465503864402
2020-01-03,NUE,Equity,Materials,-0.013243392427117029
2020-01-03,NVDA,Equity,Tech,-0.01600591028787468
2020-01-03,O,Equity,RealEstate,0.0180740458926254
2020-01-03,OXY,Equity,Energy,0.024189807315003087
2020-01-03,PLD,Equity,RealEstate,0.011199008230169394
2020-01-03,PSA,Equity,RealEstate,0.010784359391997844
2020-01-03,QCOM,Equity,Tech,-0.018830226624348634
2020-01-03,SBUX,Equity,Consumer,-0.005820023118949025
2020-01-03,SHW,Equity,Materials,-0.012940303739546688
2020-01-03,SLB,Equity,Energy,0.009708880685367571
2020-01-03,SO,Equity,Utilities,-0.0009579231065741656
2020-01-03,T,Equity,Comm,0.0051465565036430405
2020-01-03,TMUS,Equity,Comm,-0.005344169207255223
2020-01-03,TTWO,Equity,Comm,0.0010648529772949722
2020-01-03,UPS,Equity,Industrials,-0.000599276658956871
2020-01-03,USB,Equity,Financials,-0.011655474527395904
2020-01-03,V,Equity,Financials,-0.00795295940439289
2020-01-03,WFC,Equity,Financials,-0.006139793058668408
2020-01-03,WMT,Equity,Consumer,-0.008828055014961311
2020-01-03,XOM,Equity,Energy,-0.008039555185007652
2020-01-06,ADA-USD,Crypto,Crypto,0.07347140616116543
2020-01-06,BCH-USD,Crypto,Crypto,0.09130296825836703
2020-01-06,BTC-USD,Crypto,Crypto,0.04829126010697582
2020-01-06,EOS-USD,Crypto,Crypto,0.05728237009487391
2020-01-06,ETC-USD,Crypto,Crypto,0.028162827504393917
2020-01-06,ETH-USD,Crypto,Crypto,0.05890493095145177
2020-01-06,LTC-USD,Crypto,Crypto,0.051962773398619655
2020-01-06,TRX-USD,Crypto,Crypto,0.06789986180220464
2020-01-06,XLM-USD,Crypto,Crypto,0.08300443398157231
2020-01-06,XRP-USD,Crypto,Crypto,0.13282904035019572
2020-01-06,ABBV,Equity,Healthcare,0.007892082745382334
2020-01-06,ABT,Equity,Healthcare,0.005238875629340223
2020-01-06,ADBE,Equity,Tech,0.0057261502379801765
2020-01-06,AEP,Equity,Utilities,0.0033202672429795133
2020-01-06,AMD,Equity,Tech,-0.004320968951973869
2020-01-06,AMGN,Equity,Healthcare,0.007673888025701903
2020-01-06,AMT,Equity,RealEstate,-0.0002623692610840278
2020-01-06,BA,Equity,Industrials,0.002944999944185067
2020-01-06,CAT,Equity,Industrials,-0.0006739669815821747
2020-01-06,CCI,Equity,RealEstate,-0.008423382697903326
2020-01-06,CMCSA,Equity,Comm,-0.007553587546047069
2020-01-06,COP,Equity,Energy,0.0118723933726963
2020-01-06,CVX,Equity,Energy,-0.0033883718460187007
2020-01-06,D,Equity,Utilities,0.007705416962432432
2020-01-06,DD,Equity,Materials,-0.007078394927945153
2020-01-06,DIS,Equity,Consumer,-0.005802053021024878
2020-01-06,DOW,Equity,Materials,-0.004006094057774301
2020-01-06,DUK,Equity,Utilities,0.004867343789972889
2020-01-06,EA,Equity,Comm,0.01473912958025525
