date,ticker,asset_class,sector,return
2020-01-02,ADA-USD,Crypto,Crypto,-0.021130874739584304
2020-01-03,ADA-USD,Crypto,Crypto,0.0436322232876416
2020-01-04,ADA-USD,Crypto,Crypto,0.012141634271100932
2020-01-05,ADA-USD,Crypto,Crypto,0.003642051251679268
2020-01-06,ADA-USD,Crypto,Crypto,0.07347140616116543
2020-01-07,ADA-USD,Crypto,Crypto,-0.00603670558471725
2020-01-08,ADA-USD,Crypto,Crypto,-0.016519506616973323
2020-01-09,ADA-USD,Crypto,Crypto,-0.002085896696326528
2020-01-10,ADA-USD,Crypto,Crypto,0.014164278955681064
2020-01-11,ADA-USD,Crypto,Crypto,-0.0013288155154895787
2020-01-12,ADA-USD,Crypto,Crypto,0.023489408744604034
2020-01-13,ADA-USD,Crypto,Crypto,-0.01920931328536024
2020-01-14,ADA-USD,Crypto,Crypto,0.1269815483949639
2020-01-15,ADA-USD,Crypto,Crypto,0.02143544217613469
2020-01-16,ADA-USD,Crypto,Crypto,-0.027307122795645955
2020-01-17,ADA-USD,Crypto,Crypto,0.08666135292362065
2020-01-18,ADA-USD,Crypto,Crypto,-0.0028235775475434766
2020-01-19,ADA-USD,Crypto,Crypto,-0.06403427556017438
2020-01-20,ADA-USD,Crypto,Crypto,0.04511781888374933
2020-01-21,ADA-USD,Crypto,Crypto,0.04823008169519927
2020-01-22,ADA-USD,Crypto,Crypto,-0.007284360617243579
2020-01-23,ADA-USD,Crypto,Crypto,-0.050816995170684165
2020-01-24,ADA-USD,Crypto,Crypto,0.03853785063110893
2020-01-25,ADA-USD,Crypto,Crypto,-0.03901870004053587
2020-01-26,ADA-USD,Crypto,Crypto,0.030822193626366845
2020-01-27,ADA-USD,Crypto,Crypto,0.07471797101408106
2020-01-28,ADA-USD,Crypto,Crypto,0.10321002264160328
2020-01-29,ADA-USD,Crypto,Crypto,0.012429756567430061
2020-01-30,ADA-USD,Crypto,Crypto,0.04776320034973769
2020-01-31,ADA-USD,Crypto,Crypto,-0.04060998290100393
2020-02-01,ADA-USD,Crypto,Crypto,0.04273796553838016
2020-02-02,ADA-USD,Crypto,Crypto,-0.005776218791927912
2020-02-03,ADA-USD,Crypto,Crypto,0.021714938748943036
2020-02-04,ADA-USD,Crypto,Crypto,-0.0172519663705909
2020-02-05,ADA-USD,Crypto,Crypto,0.05777193634195066
2020-02-06,ADA-USD,Crypto,Crypto,0.008880544915941702
2020-02-07,ADA-USD,Crypto,Crypto,0.000552213473335561
2020-02-08,ADA-USD,Crypto,Crypto,0.0025756777860048707
2020-02-09,ADA-USD,Crypto,Crypto,0.031112363701786716
2020-02-10,ADA-USD,Crypto,Crypto,-0.022893096059258933
2020-02-11,ADA-USD,Crypto,Crypto,0.04692524764692774
2020-02-12,ADA-USD,Crypto,Crypto,0.0813721473350224
2020-02-13,ADA-USD,Crypto,Crypto,0.0030421051014239975
2020-02-14,ADA-USD,Crypto,Crypto,0.02914798888317449
2020-02-15,ADA-USD,Crypto,Crypto,-0.09516855487551212
2020-02-16,ADA-USD,Crypto,Crypto,-0.018931121768334225
2020-02-17,ADA-USD,Crypto,Crypto,-0.04168931030702039
2020-02-18,ADA-USD,Crypto,Crypto,0.04255350831356064
2020-02-19,ADA-USD,Crypto,Crypto,-0.07910920111068964
2020-02-20,ADA-USD,Crypto,Crypto,0.010668760851293202
2020-02-21,ADA-USD,Crypto,Crypto,0.006522455008456385
2020-02-22,ADA-USD,Crypto,Crypto,-0.005184150617604688
2020-02-23,ADA-USD,Crypto,Crypto,0.05440893170520478
2020-02-24,ADA-USD,Crypto,Crypto,-0.04145670902006571
2020-02-25,ADA-USD,Crypto,Crypto,-0.0440298240583753
2020-02-26,ADA-USD,Crypto,Crypto,-0.12261369656874621
2020-02-27,ADA-USD,Crypto,Crypto,0.004691320992134207
2020-02-28,ADA-USD,Crypto,Crypto,-0.021515584661746523
2020-02-29,ADA-USD,Crypto,Crypto,-0.022112053263621312
2020-03-01,ADA-USD,Crypto,Crypto,-0.03384449865182437
2020-03-02,ADA-USD,Crypto,Crypto,0.06577118142526017
2020-03-03,ADA-USD,Crypto,Crypto,-0.0039221592178998455
2020-03-04,ADA-USD,Crypto,Crypto,0.0049835050795004054
2020-03-05,ADA-USD,Crypto,Crypto,0.041894540166032446
2020-03-06,ADA-USD,Crypto,Crypto,0.007658088437284549
2020-03-07,ADA-USD,Crypto,Crypto,-0.0486510702353512
