date,universe,method,fund,return,periods_per_year
2021-01-04,Equity,Equal Weight,Equity Equal Weight,-0.013701064199660195,252
2021-01-05,Equity,Equal Weight,Equity Equal Weight,0.012674408604811126,252
2021-01-06,Equity,Equal Weight,Equity Equal Weight,0.013264430714510804,252
2021-01-07,Equity,Equal Weight,Equity Equal Weight,0.009679796812702826,252
2021-01-08,Equity,Equal Weight,Equity Equal Weight,0.0028657693620504298,252
2021-01-11,Equity,Equal Weight,Equity Equal Weight,-8.806647741709245e-05,252
2021-01-12,Equity,Equal Weight,Equity Equal Weight,0.003012843574414888,252
2021-01-13,Equity,Equal Weight,Equity Equal Weight,8.709165777319526e-05,252
2021-01-14,Equity,Equal Weight,Equity Equal Weight,0.003088648294878564,252
2021-01-15,Equity,Equal Weight,Equity Equal Weight,-0.010835450462099166,252
2021-01-19,Equity,Equal Weight,Equity Equal Weight,0.007283796632033242,252
2021-01-20,Equity,Equal Weight,Equity Equal Weight,0.007972222095949909,252
2021-01-21,Equity,Equal Weight,Equity Equal Weight,-0.007354873075140488,252
2021-01-22,Equity,Equal Weight,Equity Equal Weight,-0.0028008371292316974,252
2021-01-25,Equity,Equal Weight,Equity Equal Weight,0.0019324605381932259,252
2021-01-26,Equity,Equal Weight,Equity Equal Weight,-0.005039220682649926,252
2021-01-27,Equity,Equal Weight,Equity Equal Weight,-0.025815778404221418,252
2021-01-28,Equity,Equal Weight,Equity Equal Weight,0.010643214962448222,252
2021-01-29,Equity,Equal Weight,Equity Equal Weight,-0.014793783126670682,252
2021-02-01,Equity,Equal Weight,Equity Equal Weight,0.008517686014717273,252
2021-02-02,Equity,Equal Weight,Equity Equal Weight,0.017473889706152945,252
2021-02-03,Equity,Equal Weight,Equity Equal Weight,0.001902784610192674,252
2021-02-04,Equity,Equal Weight,Equity Equal Weight,0.009138734300265725,252
2021-02-05,Equity,Equal Weight,Equity Equal Weight,0.006317001689045663,252
2021-02-08,Equity,Equal Weight,Equity Equal Weight,0.013036997474039065,252
2021-02-09,Equity,Equal Weight,Equity Equal Weight,-0.0027438667563593655,252
2021-02-10,Equity,Equal Weight,Equity Equal Weight,0.0014557026145883103,252
2021-02-11,Equity,Equal Weight,Equity Equal Weight,-0.0010303835566599063,252
2021-02-12,Equity,Equal Weight,Equity Equal Weight,0.004467629428637099,252
2021-02-16,Equity,Equal Weight,Equity Equal Weight,0.000556028999220457,252
2021-02-17,Equity,Equal Weight,Equity Equal Weight,0.002470031678470779,252
2021-02-18,Equity,Equal Weight,Equity Equal Weight,-0.005919355778125217,252
2021-02-19,Equity,Equal Weight,Equity Equal Weight,0.0011058595895655544,252
2021-02-22,Equity,Equal Weight,Equity Equal Weight,0.002141918707192052,252
2021-02-23,Equity,Equal Weight,Equity Equal Weight,0.000247470338147786,252
2021-02-24,Equity,Equal Weight,Equity Equal Weight,0.014576435503532907,252
2021-02-25,Equity,Equal Weight,Equity Equal Weight,-0.018364899811465808,252
2021-02-26,Equity,Equal Weight,Equity Equal Weight,-0.012928311779984663,252
2021-03-01,Equity,Equal Weight,Equity Equal Weight,0.01996332649691379,252
2021-03-02,Equity,Equal Weight,Equity Equal Weight,-0.0027913416635460416,252
2021-03-03,Equity,Equal Weight,Equity Equal Weight,-0.00703708544492842,252
2021-03-04,Equity,Equal Weight,Equity Equal Weight,-0.007899217627752662,252
2021-03-05,Equity,Equal Weight,Equity Equal Weight,0.017580768996769726,252
2021-03-08,Equity,Equal Weight,Equity Equal Weight,0.0018204582191550917,252
2021-03-09,Equity,Equal Weight,Equity Equal Weight,0.0073186245017265615,252
2021-03-10,Equity,Equal Weight,Equity Equal Weight,0.009821255768227703,252
2021-03-11,Equity,Equal Weight,Equity Equal Weight,0.005296440739070051,252
2021-03-12,Equity,Equal Weight,Equity Equal Weight,0.007082392417840364,252
2021-03-15,Equity,Equal Weight,Equity Equal Weight,0.005841980012247009,252
2021-03-16,Equity,Equal Weight,Equity Equal Weight,-0.00020791992646234758,252
2021-03-17,Equity,Equal Weight,Equity Equal Weight,0.0021785532396102385,252
2021-03-18,Equity,Equal Weight,Equity Equal Weight,-0.013475213399477744,252
2021-03-19,Equity,Equal Weight,Equity Equal Weight,-0.004686513277944682,252
2021-03-22,Equity,Equal Weight,Equity Equal Weight,0.005873122338467356,252
2021-03-23,Equity,Equal Weight,Equity Equal Weight,-0.008100983457706075,252
2021-03-24,Equity,Equal Weight,Equity Equal Weight,-0.003305425688800321,252
2021-03-25,Equity,Equal Weight,Equity Equal Weight,0.007122806063378126,252
2021-03-26,Equity,Equal Weight,Equity Equal Weight,0.019635042704920395,252
2021-03-29,Equity,Equal Weight,Equity Equal Weight,0.0011022909356362375,252
2021-03-30,Equity,Equal Weight,Equity Equal Weight,-0.003326924065019589,252
2021-03-31,Equity,Equal Weight,Equity Equal Weight,-0.0009145486313490108,252
2021-04-01,Equity,Equal Weight,Equity Equal Weight,0.011919235422437927,252
2021-04-05,Equity,Equal Weight,Equity Equal Weight,0.005203894475596235,252
2021-04-06,Equity,Equal Weight,Equity Equal Weight,0.00031178142225714674,252
2021-04-07,Equity,Equal Weight,Equity Equal Weight,-0.0009843279076349229,252
2021-04-08,Equity,Equal Weight,Equity Equal Weight,-0.0012589867542405497,252
2021-04-09,Equity,Equal Weight,Equity Equal Weight,0.002570252431860107,252
2021-04-12,Equity,Equal Weight,Equity Equal Weight,-0.0004073299999306899,252
2021-04-13,Equity,Equal Weight,Equity Equal Weight,0.0017323719424837082,252
2021-04-14,Equity,Equal Weight,Equity Equal Weight,0.0033581112989769886,252
2021-04-15,Equity,Equal Weight,Equity Equal Weight,0.009449393897939497,252
2021-04-16,Equity,Equal Weight,Equity Equal Weight,0.0028414438132387267,252
2021-04-19,Equity,Equal Weight,Equity Equal Weight,-0.0035293475918233954,252
2021-04-20,Equity,Equal Weight,Equity Equal Weight,-0.008747199313497125,252
2021-04-21,Equity,Equal Weight,Equity Equal Weight,0.01074810100907438,252
2021-04-22,Equity,Equal Weight,Equity Equal Weight,-0.009628306971395238,252
2021-04-23,Equity,Equal Weight,Equity Equal Weight,0.008856224632086745,252
