date,universe,method,fund,return,periods_per_year,lambda_tilt
2021-01-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.013481920448741254,252,0.15
2021-01-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.012062920376904358,252,0.15
2021-01-06,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.01226720008682891,252,0.15
2021-01-07,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.009603584740947501,252,0.15
2021-01-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0031970972617781927,252,0.15
2021-01-11,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-5.4737427552141445e-05,252,0.15
2021-01-12,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.002244062376280532,252,0.15
2021-01-13,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-6.955647985793028e-05,252,0.15
2021-01-14,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0022746749248508083,252,0.15
2021-01-15,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.010622365969701352,252,0.15
2021-01-19,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.007059010032703343,252,0.15
2021-01-20,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.008479524397450424,252,0.15
2021-01-21,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.007008100061009305,252,0.15
2021-01-22,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.0029772593017638686,252,0.15
2021-01-25,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0017194827701482612,252,0.15
2021-01-26,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.00505904679306783,252,0.15
2021-01-27,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.026667569207028487,252,0.15
2021-01-28,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.011250709629222377,252,0.15
2021-01-29,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,-0.014759585204808192,252,0.15
2021-02-01,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.00799344663122366,252,0.15
2021-02-02,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.01726690042788585,252,0.15
2021-02-03,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.0016854521724145256,252,0.15
2021-02-04,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.009313830053352156,252,0.15
2021-02-05,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.006652839814237862,252,0.15
2021-02-08,Equity,Equal Weight + Sentiment Tilt,Equity Equal Weight + Sentiment Tilt,0.012508738772152759,252,0.15
