fund_name,universe,method,first_oos_date,last_oos_date,oos_observations,rebalance_count,annualisation_factor,solver_failures,fallback_count,max_weight_sum_error,min_weight,max_weight,duplicate_return_dates,missing_fund_returns,training_dates_valid,strict_no_lookahead_valid,mean_risk_contribution_dispersion,max_risk_contribution_dispersion
Combined Equal Weight,Combined,Equal Weight,2021-01-04,2023-12-29,753,36,252,0,0,0.0,0.016666666666666666,0.016666666666666666,0,0,True,True,0.03106484296092099,0.033273172077572355
Combined Minimum Variance,Combined,Minimum Variance,2021-01-04,2023-12-29,753,36,252,0,0,2.220446049250313e-16,0.0,0.10355027322708471,0,0,True,True,0.0583710343885346,0.09398479757984013
Combined Risk Parity,Combined,Risk Parity,2021-01-04,2023-12-29,753,36,252,0,0,2.220446049250313e-16,0.007547215964168271,0.034632041199590916,0,0,True,True,0.0004303886397839095,0.0006204001090405163
Combined Tangency,Combined,Tangency,2021-01-04,2023-12-29,753,36,252,0,0,4.440892098500626e-16,0.0,0.5784389906892113,0,0,True,True,0.36654280945074813,0.7584092041339449
Crypto Equal Weight,Crypto,Equal Weight,2021-01-01,2023-12-31,1095,36,365,0,0,0.0,0.1,0.1,0,0,True,True,0.049453505697788204,0.05493279645499826
Crypto Minimum Variance,Crypto,Minimum Variance,2021-01-01,2023-12-31,1095,36,365,0,0,2.220446049250313e-16,0.0,0.9748984628173583,0,0,True,True,0.760879897560178,0.9739849046704809
Crypto Risk Parity,Crypto,Risk Parity,2021-01-01,2023-12-31,1095,36,365,0,0,1.1102230246251565e-16,0.08391712723348099,0.15410316263237825,0,0,True,True,0.0005011046391008092,0.0010420595977167907
Crypto Tangency,Crypto,Tangency,2021-01-01,2023-12-31,1095,36,365,0,0,3.3306690738754696e-16,0.0,0.7114888934555507,0,0,True,True,0.590886041213082,0.7982767388805759
Equity Equal Weight,Equity,Equal Weight,2021-01-04,2023-12-29,753,36,252,0,0,0.0,0.02,0.02,0,0,True,True,0.03024800376413779,0.03289166001766229
Equity Minimum Variance,Equity,Minimum Variance,2021-01-04,2023-12-29,753,36,252,0,0,2.220446049250313e-16,0.0,0.10645413085054527,0,0,True,True,0.059448823336504066,0.09681926878803758
Equity Risk Parity,Equity,Risk Parity,2021-01-04,2023-12-29,753,36,252,0,0,2.220446049250313e-16,0.00975561464565248,0.03904945285914225,0,0,True,True,0.00026225864597855794,0.0003817786087169789
Equity Tangency,Equity,Tangency,2021-01-04,2023-12-29,753,36,252,0,0,2.220446049250313e-16,0.0,0.6518462186037894,0,0,True,True,0.49005397743178325,0.8371788913924963
