fund,universe,method,observations,periods_per_year,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,historical_var_95,expected_shortfall_95,maximum_drawdown,growth_of_1,average_turnover
Combined Equal Weight,Combined,Equal Weight,753,252,0.14979185312494003,0.21251687241172793,0.7632789382310542,1.08719969541076,0.020526532108346877,0.03083731394147118,-0.2874698799026544,1.517525592029717,0.038572799688172205
Combined Minimum Variance,Combined,Minimum Variance,753,252,0.043817180353801444,0.13362893380238802,0.387675214105082,0.555427026258631,0.013774163483905451,0.01820610741534587,-0.1856533795720069,1.1367150304189475,0.042005945766515944
Combined Risk Parity,Combined,Risk Parity,753,252,0.12802554246928222,0.1724190975842515,0.785041471457619,1.1250463324589433,0.017271384128805793,0.02461217541050509,-0.22925745441237777,1.4332896233284314,0.03240180847058325
Combined Tangency,Combined,Tangency,753,252,0.08233214212435569,0.34805525263870196,0.4010322325522064,0.5818180585513564,0.03474023218989855,0.05049098216364496,-0.5274907779483946,1.2666966253629157,0.15525733949390252
Crypto Equal Weight,Crypto,Equal Weight,1095,365,0.34187978854018186,0.8042210448398298,0.7723963017522132,1.1028145324959326,0.06598132939510365,0.09916059028478155,-0.8159730614257938,2.4162442566426043,0.05949408815909134
Crypto Minimum Variance,Crypto,Minimum Variance,1095,365,0.23592805402313588,0.6411224527057954,0.652399666788844,0.938646093580129,0.053673649599032654,0.08041682256757272,-0.758955699490153,1.8879025404498508,0.10396580025643692
Crypto Risk Parity,Crypto,Risk Parity,1095,365,0.35776926710525014,0.7874862152774509,0.7866739151708603,1.1218166646069796,0.06470167535012954,0.09741629915295479,-0.8042759957065422,2.503098400983638,0.05997498240835813
Crypto Tangency,Crypto,Tangency,1095,365,0.0465042997255376,0.7896611078384259,0.45558793523858004,0.6458561261233725,0.06367973691034752,0.09625669366251786,-0.8565829788956137,1.1461014213743248,0.06996075079043303
Equity Equal Weight,Equity,Equal Weight,753,252,0.12643529221978822,0.16166197477746672,0.8173873626510391,1.1832171512015803,0.016106228009561904,0.022387917363557355,-0.20321862626913634,1.4272603332576042,0.027239281912380234
Equity Minimum Variance,Equity,Minimum Variance,753,252,0.05128948165954861,0.13403418011847434,0.44013641394827596,0.6329505692476853,0.013826068715217167,0.01819464159671187,-0.17998826585617944,1.1612035601861128,0.053199982049831604
Equity Risk Parity,Equity,Risk Parity,753,252,0.10115521776539094,0.149872108067034,0.7179265864935956,1.035228323238157,0.015553156545169328,0.02084528709671821,-0.19555413756210294,1.3336670642344262,0.025779218121293235
Equity Tangency,Equity,Tangency,753,252,0.13456700686801115,0.23728352682344986,0.6504919121186059,0.9627314130173393,0.02277538021256,0.03169182635763206,-0.38232989443739274,1.458269224858372,0.13663683778535293
